file names,Ten sach,Tac gia,Nha xuat ban,Tap,Nguoi dich,Tai ban
1624445642850.jpg,Tuyển chọn 171 bài văn hay,LÊ THỊ MỸ TRINH NGUYỄN THỊ HƯƠNG TRẦM,NHÀ XUẤT BẢN TỔNG HỢP THÀNH PHỐ HỒ CHÍ MINH,9,,
1624598848338.jpg,LÃNH QUỶ HOZUKI,NATSUMI EGUCHI,NHÀ XUẤT BẢN TRẺ,,Ili Tenjou,
1627830295117.jpg,"Hỏi đáp về phong tục, tập quán Việt Nam",,NHÀ XUẤT BẢN QUÂN ĐỘI NHÂN DÂN,,,
1627830295130.jpg,VẬN DỤNG MƯU MẸO TÔN TỬ TRONG CUỘC SỐNG,HÙNG TRUNG VŨ,NHÀ XUẤT BẢN VĂN HOÁ - THÔNG TIN,,,
1628332196373.jpg,PAPILLON NGƯỜI TÙ KHỐ SAI,Henri Charrière,NXB Văn Học,,,
1628332196468.jpg,Franz và Clara,PHILIPPE LABRO,nhã nam NHÀ XUẤT BẢN PHỤ NỮ,,,
1628332196570.jpg,Món ăn chế biến từ Cá,NGUYỄN TRÚC CHI,NHÀ XUẤT BẢN TỔNG HỢP TP. HỒ CHÍ MINH,,,
IMG_3559.JPG,Seraph of the end Thiên thần diệt thế,,NHÀ XUẤT BẢN KIM ĐỒNG,8,Ukatomai,
IMG_3589.JPG,DORAEMON Chú mèo máy đến từ Tương lai,Fujiko•F•Fujio,NXB Kim Đồng,10,,
IMG_3605.JPG,NARUTO,MASASHI KISHIMOTO,NHÀ XUẤT BẢN HẢI PHÒNG,TẬP 3,,
